2021-01-15,10:30:07 34.7 18.0 30.0
2021-01-15,10:35:07 34.7 18.0 31.0
2021-01-15,10:40:08 34.7 19.0 30.0
2021-01-15,10:45:09 34.7 19.0 30.0
2021-01-15,10:50:07 34.7 19.0 30.0
2021-01-15,10:55:08 35.8 19.0 30.0
2021-01-15,11:00:10 35.8 18.0 31.0
2021-01-15,11:05:07 35.8 18.0 31.0
2021-01-15,11:10:09 35.2 18.0 31.0
2021-01-15,11:15:06 35.8 18.0 30.0
2021-01-15,11:20:08 34.7 17.0 31.0
2021-01-15,11:25:12 34.7 17.0 30.0
2021-01-15,11:30:08 34.7 17.0 30.0
2021-01-15,11:35:07 34.2 17.0 31.0
2021-01-15,11:40:08 34.2 17.0 30.0
2021-01-15,11:45:08 34.2 17.0 30.0
2021-01-15,11:50:11 34.2 17.0 30.0
2021-01-15,11:55:07 34.2 17.0 30.0
2021-01-15,12:00:06 33.6 17.0 30.0
2021-01-15,12:05:12 33.6 17.0 30.0
2021-01-15,12:10:07 33.6 17.0 30.0
2021-01-15,12:15:07 33.1 17.0 31.0
2021-01-15,12:20:13 33.6 17.0 30.0
2021-01-15,12:25:08 33.6 17.0 30.0
2021-01-15,12:30:07 33.6 17.0 30.0
2021-01-15,12:35:08 33.6 17.0 30.0
2021-01-15,12:40:11 34.2 17.0 31.0
2021-01-15,12:45:07 33.6 17.0 31.0
2021-01-15,12:50:10 32.6 18.0 30.0
2021-01-15,12:55:12 33.6 18.0 31.0
2021-01-15,13:00:11 34.2 19.0 30.0
2021-01-15,13:05:07 34.7 19.0 30.0
2021-01-15,13:10:08 34.7 19.0 29.0
2021-01-15,13:15:07 34.7 19.0 30.0
2021-01-15,13:20:06 34.7 19.0 30.0
2021-01-15,13:25:08 34.7 19.0 30.0
2021-01-15,13:30:19 34.7 18.0 31.0
2021-01-15,13:35:07 34.7 18.0 30.0
2021-01-15,13:40:12 34.7 18.0 31.0
2021-01-15,13:45:07 35.2 18.0 30.0
2021-01-15,13:50:08 34.7 18.0 31.0
2021-01-15,13:55:12 34.7 18.0 30.0
2021-01-15,14:00:06 34.7 18.0 30.0
2021-01-15,14:05:10 34.7 18.0 31.0
2021-01-15,14:10:07 34.2 18.0 31.0
2021-01-15,14:15:07 34.7 18.0 31.0
2021-01-15,14:20:12 34.7 18.0 31.0
2021-01-15,14:25:07 34.7 18.0 31.0
2021-01-15,14:30:08 34.7 18.0 32.0
2021-01-15,14:35:07 34.7 18.0 32.0
2021-01-15,14:40:08 34.2 19.0 30.0
2021-01-15,14:45:14 35.8 19.0 30.0
2021-01-15,14:50:07 35.2 19.0 29.0
2021-01-15,14:55:07 35.8 19.0 29.0
2021-01-15,15:00:09 35.8 20.0 31.0
2021-01-15,15:05:08 35.8 20.0 30.0
2021-01-15,15:10:07 35.8 19.0 30.0
2021-01-15,15:15:07 36.3 19.0 30.0
2021-01-15,15:20:08 35.8 18.0 30.0
2021-01-15,15:25:09 35.8 18.0 31.0
2021-01-15,15:30:10 35.2 18.0 32.0
2021-01-15,15:35:10 34.7 18.0 31.0
2021-01-15,15:40:09 35.2 18.0 31.0
2021-01-15,15:45:10 34.2 18.0 31.0
2021-01-15,15:50:07 34.2 17.0 31.0
2021-01-15,15:55:08 34.7 18.0 31.0
2021-01-15,16:00:07 34.7 17.0 31.0
2021-01-15,16:05:08 34.7 17.0 31.0
2021-01-15,16:10:10 34.2 17.0 31.0
2021-01-15,16:15:28 35.8 17.0 31.0
2021-01-15,16:20:11 34.7 17.0 31.0
2021-01-15,16:25:27 35.8 17.0 31.0
2021-01-15,16:30:22 34.7 17.0 31.0
2021-01-15,16:35:07 34.2 17.0 31.0
2021-01-15,16:40:10 34.7 17.0 31.0
2021-01-15,16:45:07 34.7 17.0 31.0
2021-01-15,16:50:07 34.7 17.0 31.0
2021-01-15,16:55:08 34.2 17.0 31.0
2021-01-15,17:00:10 33.6 17.0 31.0
2021-01-15,17:05:07 34.2 17.0 31.0
2021-01-15,17:10:07 34.2 17.0 31.0
2021-01-15,17:15:07 33.6 17.0 31.0
2021-01-15,17:20:10 33.6 17.0 31.0
2021-01-15,17:25:07 34.7 17.0 30.0
2021-01-15,17:30:08 34.7 17.0 31.0
2021-01-15,17:35:07 34.2 17.0 31.0
2021-01-15,17:40:07 33.6 17.0 31.0
2021-01-15,17:45:10 33.6 17.0 32.0
2021-01-15,17:50:06 34.2 17.0 30.0
2021-01-15,17:55:07 34.7 17.0 32.0
2021-01-15,18:00:07 34.7 18.0 31.0
2021-01-15,18:05:07 34.7 17.0 30.0
2021-01-15,18:10:10 34.7 17.0 31.0
2021-01-15,18:15:16 34.2 17.0 31.0
2021-01-15,18:20:07 34.7 17.0 30.0
2021-01-15,18:25:06 34.2 17.0 31.0
2021-01-15,18:30:08 34.7 17.0 31.0
2021-01-15,18:35:28 36.9 17.0 31.0
2021-01-15,18:40:09 34.7 17.0 31.0
2021-01-15,18:45:08 34.7 17.0 31.0
2021-01-15,18:50:28 34.7 17.0 31.0
